subID,logM,slide,mechanism,mechanism_review,notes
242866,8.002793814,,,ambiguous,
432,8.003774226,,,ambiguous,
477359,8.004655622,,,ambiguous,
355,8.004924111,,,outside-in,
289443,8.005350228,,,ambiguous,
64382,8.006017021,,,outside-in,
117387,8.006942627,,,ambiguous,
324201,8.008045599,,,ambiguous,
662,8.008102801,,,outside-in,
338523,8.008642197,,,outside-in,
413382,8.008665603,,,ambiguous,
1503,8.008805671,,,outside-in,
428211,8.009786606,,,outside-in,
324200,8.010003686,,,ambiguous,
1431,8.012321472,,,ambiguous,
265054,8.01335737,,,ambiguous,
416727,8.013396017,,,outside-in,
230088,8.01365398,,,outside-in,
586677,8.014017917,,,outside-in,
313721,8.014347076,,,ambiguous,
307575,8.015113871,,,outside-in,
983030,8.01538372,,,ambiguous,
324196,8.015472669,,,ambiguous,
717158,8.015726292,,,ambiguous,
506728,8.01638943,,,outside-in,
198418,8.017586374,,,ambiguous,
301047,8.018342972,,,ambiguous,
875173,8.018530214,,,outside-in,
588401,8.02045218,,,outside-in,
220669,8.022147424,,,ambiguous,
352463,8.025365829,,,outside-in,
471256,8.025757968,,,ambiguous,
826941,8.026069595,,,ambiguous,
867487,8.02684342,,,outside-in,
1026324,8.03019687,,,outside-in,
117423,8.030205058,,,ambiguous,
230000,8.031864809,,,ambiguous,
520316,8.032931775,,,outside-in,
117737,8.033164232,,,ambiguous,
368876,8.033413678,,,ambiguous,
555289,8.034240872,,,ambiguous,
526033,8.036811606,,,outside-in,
402598,8.037527057,,,ambiguous,
887217,8.037543405,,,outside-in,
863260,8.038272934,,,ambiguous,
523,8.038553093,,,ambiguous,
473346,8.038686905,,,outside-in,
523895,8.039961559,,,outside-in,
432144,8.040121451,,,ambiguous,
117375,8.040306671,,,ambiguous,
275581,8.040322941,,,outside-in,
480808,8.040569316,,,ambiguous,
452043,8.041790771,,,outside-in,
379822,8.041944868,,,ambiguous,
622,8.041992301,,,ambiguous,
208953,8.043517577,,,outside-in,
991231,8.044020147,,,ambiguous,
208979,8.044111103,,,ambiguous,
934400,8.044148483,,,ambiguous,
770740,8.044198076,,,ambiguous,
657309,8.044827322,,,ambiguous,
209010,8.044952136,,,ambiguous,
117371,8.045465337,,,ambiguous,
835875,8.046806838,,,outside-in,
