index,subID,mech,Rtrunc/Re,lower_lim,upper_lim,logM
0,1,1,,,,11.59617592
1,2,1,,,,11.2839449
2,4,3,0.9,,,10.9536705
3,7,1,,,,10.78651629
4,10,1,,,,10.78662143
5,13,3,0.7,,,10.32597923
6,14,1,,,,10.44143772
7,16,3,0.5,,,10.53727919
8,21,3,0.5,,,10.52192791
9,22,3,0.5,,,10.30807304
10,23,1,,,,10.26118825
11,26,4,1.6,,,10.18265343
12,28,4,5.0,TRUE,,9.910944489
13,30,4,2.5,,,10.0064492
14,32,4,2.0,,,10.20790698
15,33,4,1.5,,,10.12090015
16,34,4,1.0,,,10.09589005
17,35,4,4.2,,,10.1545887
18,36,4,5.0,TRUE,,10.22282982
19,38,4,2.5,,,10.14271075
20,39,4,2.1,,,10.09709714
21,40,4,1.7,,,10.07147404
22,41,4,3.5,,,10.10083294
23,42,1,,,,10.14164543
24,43,4,0.1,,TRUE,9.777201653
25,46,1,,,,9.825009834
26,47,4,2.1,,,10.11218548
27,50,4,2.5,,,10.04682827
28,51,4,1.0,,TRUE,9.797093253
29,58,4,3.3,,,9.975849152
30,59,4,1.9,,,9.958828504
31,61,4,1.5,,,9.886483662
32,64,1,,,,9.828886866
33,70,3,0.5,,,9.723764576
34,74,4,1.8,,,9.818268776
35,79,4,2.5,,,9.666272927
36,87,4,3.2,,,9.713161469
37,92,4,1.9,,,9.641301493
38,94,4,3.0,,,9.56114791
39,98,4,0.6,,TRUE,9.547745037
40,124,4,4.5,,,9.508853912
41,63871,4,4.1,,,10.43365669
42,63874,3,1.0,,,10.86111007
43,63875,3,0.7,,,10.65986892
44,63879,4,2.7,,,10.08121117
45,63880,4,3.0,,,10.32809353
46,63883,1,,,,10.03357817
47,63885,4,1.3,,,10.22812837
48,63886,4,1.0,,TRUE,10.17739882
49,63887,4,1.5,,,9.971298218
50,63891,4,1.5,,,10.06379474
51,63893,4,1.2,,,9.990116119
52,63898,4,1.7,,,9.671088619
53,63900,4,2.3,,,9.968860029
54,63901,4,1.5,,,9.981032372
55,63907,4,0.7,,,9.899005286
56,63910,4,1.0,,,9.540550251
57,63911,4,1.0,,,9.703146521
58,63917,4,0.8,,,9.668306741
59,63926,1,,,,9.618800163
60,63928,4,2.6,,,9.592259141
61,96763,1,,,,10.88986414
62,96764,1,,,,11.0229311
63,96766,3,0.8,,,10.70305252
64,96767,1,,,,10.69829164
65,96769,3,0.8,,,10.61259147
66,96771,3,0.9,,,10.55302401
67,96772,1,,,,10.48857283
68,96778,4,0.7,,TRUE,9.967698321
69,96779,4,2.0,,,10.27380692
70,96780,1,,,,10.31193072
71,96781,4,2.0,,,10.26887894
72,96782,4,2.3,,,10.09180734
73,96783,4,2.2,,,10.26857096
