Visit,Status,Targets,Configs,Orbits,Start_UT,start_UT_date,start_UT_time,start_TimeISO,End_UT,exp_(s)
5,Archived,MACSJ0717+3745,ACS/WFC,4,4/2/2004 5:34,2004-04-02,5:34:45,2004-04-02 05:34:45,4/2/2004 11:25,21046
8,Archived,MACSJ1149+2223,ACS/WFC,4,4/22/2004 13:56,2004-04-22,13:56:57,2004-04-22 13:56:57,4/22/2004 21:10,26007
8,Archived,MACSJ0717.5+3745-POS5,ACS/WFC,3,1/24/2005 23:12,2005-01-24,23:12:14,2005-01-24 23:12:14,1/25/2005 6:13,25294
1,Archived,MACSJ0717.5+3745-POS5,ACS/WFC,1,1/25/2005 6:54,2005-01-25,6:54:54,2005-01-25 06:54:54,1/25/2005 7:50,3349
3,Archived,MACSJ0717.5+3745-POS5,ACS/WFC,3,1/27/2005 5:37,2005-01-27,5:37:23,2005-01-27 05:37:23,1/27/2005 10:46,18523
4,Archived,MACSJ0717.5+3745-POS5,ACS/WFC,3,1/27/2005 11:40,2005-01-27,11:40:52,2005-01-27 11:40:52,1/27/2005 15:47,14814
7,Archived,MACSJ0717.5+3745-POS5,ACS/WFC,3,1/27/2005 16:31,2005-01-27,16:31:00,2005-01-27 16:31:00,1/27/2005 21:54,19426
5,Archived,MACSJ0717.5+3745-POS5,ACS/WFC,3,1/30/2005 18:04,2005-01-30,18:04:27,2005-01-30 18:04:27,1/30/2005 23:40,20150
6,Archived,MACSJ0717.5+3745-POS5,ACS/WFC,3,2/1/2005 9:59,2005-02-01,9:59:45,2005-02-01 09:59:45,2/1/2005 14:07,14860
9,Archived,MACSJ0717.5+3745-POS5,ACS/WFC,3,2/1/2005 14:51,2005-02-01,14:51:07,2005-02-01 14:51:07,2/1/2005 18:56,14701
10,Archived,MACSJ0717.5+3745-POS5,ACS/WFC,3,2/4/2005 13:13,2005-02-04,13:13:21,2005-02-04 13:13:21,2/4/2005 17:16,14581
11,Archived,MACSJ0717.5+3745-POS5,ACS/WFC,3,2/4/2005 18:01,2005-02-04,18:01:20,2005-02-04 18:01:20,2/4/2005 22:06,14718
12,Archived,MACSJ0717.5+3745-POS5,ACS/WFC,3,2/5/2005 6:43,2005-02-05,6:43:42,2005-02-05 06:43:42,2/5/2005 10:51,14873
