# WAVELENGTH THROUGHPUT
2.988923940999999473e+00 0.000000000000000000e+00
2.990275172999999675e+00 0.000000000000000000e+00
2.991626404999999878e+00 1.107662858773115453e-04
2.992977637000000080e+00 1.193328189140478490e-04
2.994328868000000199e+00 1.285919935486632391e-04
2.995680099999999957e+00 1.377789140088373063e-04
2.997031331000000076e+00 1.472282628393168605e-04
2.998382561999999751e+00 1.578815483448939207e-04
2.999733794000000398e+00 1.692607625816734153e-04
3.001085025000000073e+00 1.818179775568469372e-04
3.002436256999999831e+00 1.949791779328842109e-04
3.003787487999999950e+00 2.085926593302799459e-04
3.005138719999999708e+00 2.229657519058870986e-04
3.006489950999999827e+00 2.387718467279582098e-04
3.007841181999999947e+00 2.561553084162280385e-04
3.009192414000000149e+00 2.745408675022340396e-04
3.010543645000000268e+00 2.936671683751102468e-04
3.011894877000000026e+00 3.141148570799621184e-04
3.013246107999999701e+00 3.361806860997273755e-04
3.014597339999999903e+00 3.597605156210219378e-04
3.015948571000000022e+00 3.855246685787774548e-04
3.017299802999999780e+00 4.123148603217939990e-04
3.018651033999999900e+00 4.406533581290052355e-04
3.020002265000000019e+00 4.709000915328586116e-04
3.021353497000000221e+00 5.033561951443239280e-04
3.022704728000000340e+00 5.375610236643698194e-04
3.024055960000000098e+00 5.742188889975796901e-04
3.025407190999999774e+00 6.134115515141851365e-04
3.026758423000000420e+00 6.545229767354063602e-04
3.028109653999999651e+00 6.989286373083926102e-04
3.029460885999999853e+00 7.473498751731211644e-04
3.030812116999999972e+00 7.990543430483489475e-04
3.032163348000000092e+00 8.541824435673227257e-04
3.033514579999999849e+00 9.136880247627715427e-04
3.034865810999999969e+00 9.774133646415865666e-04
3.036217043000000171e+00 1.045584049693942547e-03
3.037568274000000290e+00 1.119558174392293673e-03
3.038919506000000048e+00 1.199481725384059097e-03
3.040270736999999723e+00 1.285229067350700466e-03
3.041621967999999843e+00 1.378307461388292429e-03
3.042973200000000045e+00 1.478822021090952414e-03
3.044324431000000164e+00 1.587814062524461195e-03
3.045675662999999922e+00 1.706045244687182192e-03
3.047026894000000041e+00 1.833989275028788217e-03
3.048378126000000243e+00 1.972753222798353818e-03
3.049729357000000363e+00 2.123377142855928119e-03
3.051080589000000121e+00 2.285622907924929857e-03
3.052431819999999796e+00 2.462578019286002472e-03
3.053783050999999915e+00 2.655083379218806019e-03
3.055134282999999673e+00 2.863949135375273673e-03
3.056485513999999792e+00 3.092184856156989913e-03
3.057836745999999994e+00 3.340687215088706131e-03
3.059187977000000114e+00 3.610908487947413290e-03
3.060539208999999872e+00 3.906199136121435694e-03
3.061890439999999991e+00 4.228409546378613174e-03
3.063241671000000110e+00 4.579363013670407177e-03
3.064592903000000312e+00 4.963130287086388141e-03
3.065944133999999988e+00 5.381543097709569519e-03
3.067295365999999746e+00 5.838183880103388866e-03
3.068646596999999865e+00 6.338100790162745288e-03
3.069997829000000067e+00 6.884635405779419674e-03
3.071349060000000186e+00 7.482019721998005996e-03
3.072700291999999944e+00 8.136522701527613977e-03
3.074051523000000063e+00 8.852762358461231315e-03
3.075402754000000183e+00 9.636742424377352928e-03
3.076753986000000385e+00 1.049446588109688092e-02
3.078105216999999616e+00 1.143460036031514540e-02
3.079456448999999818e+00 1.246277877466469598e-02
3.080807679999999937e+00 1.358825922765482912e-02
3.082158911999999695e+00 1.482166187242981402e-02
3.083510142999999815e+00 1.616908808811378523e-02
3.084861373999999934e+00 1.764282106425419175e-02
3.086212606000000136e+00 1.925822758930021555e-02
3.087563837000000255e+00 2.101964122371936805e-02
3.088915069000000013e+00 2.294248879627833887e-02
3.090266299999999688e+00 2.504738002868688376e-02
3.091617532000000335e+00 2.733777627094295670e-02
3.092968763000000010e+00 2.983437113057773801e-02
3.094319994999999768e+00 3.256260088426683047e-02
3.095671225999999887e+00 3.552053491493649406e-02
3.097022457000000006e+00 3.874782070533682593e-02
3.098373689000000208e+00 4.223997359901123655e-02
3.099724920000000328e+00 4.602699342354914236e-02
3.101076152000000086e+00 5.014545881536987965e-02
3.102427383000000205e+00 5.457947270189678762e-02
3.103778614999999963e+00 5.936559379647619178e-02
3.105129845999999638e+00 6.454979731821920697e-02
3.106481077999999840e+00 7.010116240084125760e-02
3.107832308999999960e+00 7.606146714287340127e-02
3.109183540000000079e+00 8.247882775897340257e-02
3.110534771999999837e+00 8.930543852699714125e-02
3.111886002999999956e+00 9.658573832964822969e-02
3.113237235000000158e+00 1.043700876472530847e-01
3.114588466000000277e+00 1.125827262426061098e-01
3.115939698000000035e+00 1.212598164939034384e-01
3.117290928999999711e+00 1.304553648842201041e-01
3.118642159999999830e+00 1.400508282572758834e-01
3.119993392000000032e+00 1.500866241966189452e-01
3.121344623000000151e+00 1.606011238026035792e-01
3.122695854999999909e+00 1.714460326940348833e-01
3.124047086000000029e+00 1.827139663288324944e-01
3.125398318000000231e+00 1.942297145629615085e-01
3.126749548999999906e+00 2.060200757686644069e-01
3.128100781000000108e+00 2.181011155888437636e-01
3.129452012000000227e+00 2.302851471781795500e-01
3.130803242999999902e+00 2.425713870271840600e-01
3.132154474999999660e+00 2.549881211496149991e-01
3.133505705999999780e+00 2.673197965619852901e-01
3.134856937999999982e+00 2.795773076461855466e-01
3.136208169000000101e+00 2.917905518267378540e-01
3.137559400999999859e+00 3.037148675675386822e-01
3.138910631999999978e+00 3.153864661231647326e-01
3.140261863000000098e+00 3.268108284914859052e-01
3.141613095000000300e+00 3.377929906539854921e-01
3.142964325999999975e+00 3.483449997844620394e-01
3.144315557999999733e+00 3.584815627117363679e-01
3.145666788999999852e+00 3.680241654366886994e-01
3.147018021000000054e+00 3.770614649562818999e-01
3.148369252000000174e+00 3.854517901169337013e-01
3.149720483999999932e+00 3.932365184153500670e-01
3.151071715000000051e+00 4.004554839112959841e-01
3.152422946000000170e+00 4.070016198057543888e-01
3.153774177999999928e+00 4.129328961223733274e-01
3.155125409000000047e+00 4.183280948075914218e-01
3.156476641000000249e+00 4.231055679160938832e-01
3.157827871999999925e+00 4.273505206116374744e-01
3.159179103999999683e+00 4.311344435692702759e-01
3.160530334999999802e+00 4.344122093174288546e-01
3.161881565999999921e+00 4.372718439573298754e-01
3.163232798000000123e+00 4.397734920338081666e-01
3.164584029000000243e+00 4.419096779648589157e-01
3.165935261000000001e+00 4.437432761868738140e-01
3.167286492000000120e+00 4.453371514886984017e-01
3.168637724000000322e+00 4.466807229765028531e-01
3.169988954999999997e+00 4.478266096355463799e-01
3.171340186999999755e+00 4.488229554684670664e-01
3.172691417999999874e+00 4.496674949638472252e-01
3.174042648999999994e+00 4.504047889892897616e-01
3.175393880999999752e+00 4.510428681927032835e-01
3.176745111999999871e+00 4.516046034605656900e-01
3.178096344000000073e+00 4.521155197216026322e-01
