# WAVELENGTH THROUGHPUT
3.696969215000000641e+00 0.000000000000000000e+00
3.698320447000000399e+00 0.000000000000000000e+00
3.699671679000000157e+00 2.381630989119360180e-04
3.701022910999999915e+00 2.497961737901076762e-04
3.702374142000000035e+00 2.644076340166057410e-04
3.703725373000000154e+00 2.764669400026421365e-04
3.705076605000000356e+00 2.917278398957074879e-04
3.706427836000000031e+00 3.095725551296602679e-04
3.707779067999999789e+00 3.256352210330325974e-04
3.709130298999999908e+00 3.433306133747559153e-04
3.710481531000000111e+00 3.588113484159253467e-04
3.711832761999999786e+00 3.747323196884061892e-04
3.713183992999999905e+00 3.970617072137155802e-04
3.714535225000000107e+00 4.174964812023462010e-04
3.715886456000000226e+00 4.375375712394479377e-04
3.717237687999999984e+00 4.618762377126587552e-04
3.718588918999999660e+00 4.828935235148945474e-04
3.719940150999999862e+00 5.057349612566621388e-04
3.721291381999999981e+00 5.356098343636583924e-04
3.722642613999999739e+00 5.662700106881041672e-04
3.723993844999999858e+00 5.996994236222079290e-04
3.725345075999999978e+00 6.342707519743352685e-04
3.726696308000000180e+00 6.686206600238897959e-04
3.728047539000000299e+00 7.117733094291744120e-04
3.729398771000000057e+00 7.561581338786093091e-04
3.730750002000000176e+00 7.953791820215151860e-04
3.732101234000000378e+00 8.401741306535299427e-04
3.733452465000000053e+00 8.875162217773196853e-04
3.734803695999999729e+00 9.363009357537398387e-04
3.736154927999999931e+00 9.943181463760953839e-04
3.737506159000000050e+00 1.052808787130818987e-03
3.738857390999999808e+00 1.111371433953315443e-03
3.740208621999999927e+00 1.178848160643290255e-03
3.741559854000000129e+00 1.247964810476562009e-03
3.742911085000000249e+00 1.320039698025206277e-03
3.744262317000000007e+00 1.399942335453501939e-03
3.745613547999999682e+00 1.479183639236297592e-03
3.746964778999999801e+00 1.562218969977788394e-03
3.748316011000000003e+00 1.654417088756065038e-03
3.749667242000000122e+00 1.750937527716955574e-03
3.751018473999999880e+00 1.858423297925223009e-03
3.752369705000000000e+00 1.974398491277294058e-03
3.753720937000000202e+00 2.089952922998689153e-03
3.755072168000000321e+00 2.214403076789208009e-03
3.756423400000000079e+00 2.348105938624602592e-03
3.757774631000000198e+00 2.485265134708367248e-03
3.759125861999999874e+00 2.635807655280785356e-03
3.760477093999999632e+00 2.797982577801468636e-03
3.761828324999999751e+00 2.965187344655158350e-03
